REVISION,DATA STATUS,LOCATION,PARENT EQUIPMENT,PARENT ITEM TAG,ASSET ROLE,ITEM TAG,DESCRIPTION,PANEL LOCATION,PANEL TAG,SUPPLY BUS,EQUIPMENT TYPE,STARTER TYPE,TYPICAL SCHEMATIC,CLASS,DUTY,COINCIDENCE FACTOR,SUPPLY AC/DC,PHASE ARRANGEMENT,RATED VOLTAGE [kV],POWER FACTOR AT DEMAND,EFFICIENCY AT DEMAND,RATED POWER,RATED UOM,ABSORBED POWER,ABSORBED UOM,DEMAND FACTOR,ELEC. CONSUMED POWER,CONSUMED UOM,FULL LOAD CURRENT [A],HAZARDOUS AREA,EXPLOSION PROTECTION,SUBTATION,CABL LENGTH,PARENT TRANSFORMER OF PANEL OR DIREC FEEDER (FDR),REMARKS,SPID
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-CP007,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.89,0.93,1.5,kW,1.16,kW,0.6,0.7,kW,1.1,Safe Area,-,KPL2-A10-410-SUB01,50,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0030
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-MX008,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,30,kW,25.09,kW,1.0,25.09,kW,41.2,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0031
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-HT002,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,HE,FDR,FD-LV-HEAT,N,C,1,AC,3PNG,0.4,1.0,1.0,4,kW,3.63,kW,0.9,3.27,kW,4.7,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0032
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-HT003,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,HE,FDR,FD-LV-HEAT,N,I,0,AC,3PNG,0.4,1.0,1.0,7.5,kW,6.16,kW,0.9,5.54,kW,8.0,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0033
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-CP008,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.89,0.93,2.2,kW,1.62,kW,0.8,1.3,kW,2.1,Safe Area,-,KPL2-A10-410-SUB01,50,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0034
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PK002,PACKAGE AUXILIARY LOAD,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,15,kW,11.3,kW,0.7,7.91,kW,12.7,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0035
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PP007,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,15,kW,13.71,kW,1.0,13.71,kW,22.5,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0036
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PP008,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,B,MAA,VSD,FD-LV-MOT,E,C,1,AC,3PNG,0.4,0.88,0.92,2.2,kW,2.07,kW,0.7,1.45,kW,2.4,Safe Area,-,KPL2-A10-410-SUB01,80,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0037
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-FN009,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,MAA,DOL,FD-LV-MOT,E,C,1,AC,3PNG,0.4,0.86,0.9,55,kW,44.89,kW,0.6,26.93,kW,45.2,Safe Area,-,KPL2-A10-410-SUB01,80,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0038
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-HT004,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,HE,FDR,FD-LV-HEAT,E,S,0,AC,3PNG,0.4,1.0,1.0,75,kW,68.11,kW,0.9,61.3,kW,88.5,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0039
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-PK003,PACKAGE AUXILIARY LOAD,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,PK,FDR,FD-LV-PKG,U,C,1,AC,3PNG,0.4,0.9,0.95,3,kW,2.3,kW,0.7,1.61,kW,2.6,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0040
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-LP001,LIGHTING DISTRIBUTION PANEL,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,AL,FDR,FD-LV-LTG,E,I,0,AC,3PNG,0.4,0.95,1.0,37,kW,29.42,kW,0.6,17.65,kW,26.8,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0041
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-UP001,UPS DISTRIBUTION LOAD,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,USPB,FDR,FD-LV-UPS,N,C,1,AC,1PNG,0.23,0.98,1.0,1.5,kVA,1.43,kW,0.6,0.86,kW,2.2,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0042
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-UP002,UPS DISTRIBUTION LOAD,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,USPB,FDR,FD-LV-UPS,U,C,1,AC,1PNG,0.23,0.98,1.0,11,kVA,8.24,kW,1.0,8.24,kW,21.1,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0043
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-LP002,LIGHTING DISTRIBUTION PANEL,\NEX\A10\410,KPL2-A10-410-LV01-DB01,B,AL,FDR,FD-LV-LTG,E,I,0,AC,3PNG,0.4,0.95,1.0,11,kW,9.66,kW,1.0,9.66,kW,14.7,Safe Area,-,KPL2-A10-410-SUB01,50,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0044
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-HT005,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-DB01,B,HE,FDR,FD-LV-HEAT,U,I,0,AC,3PNG,0.4,1.0,1.0,4,kW,3.13,kW,0.7,2.19,kW,3.2,Safe Area,-,KPL2-A10-410-SUB01,80,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0045
A,E,\NEX\A10\410,KPL2-A10-410-LV01-DB01,KPL2-A10-410-LV01-DB01,FINAL_LOAD,KPL2-A10-410-HT006,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-DB01,-,HE,FDR,FD-LV-HEAT,E,C,1,AC,3PNG,0.4,1.0,1.0,75,kW,67.53,kW,0.6,40.52,kW,58.5,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0046
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP001,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,B,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.88,0.92,30,kW,25.47,kW,1.0,25.47,kW,41.8,Safe Area,-,KPL2-B20-420-SUB02,35,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0047
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-MX001,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,B,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.88,0.92,75,kW,59.13,kW,0.9,53.22,kW,87.3,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0048
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP002,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,MAA,VSD,FD-LV-MOT,E,C,1,AC,3PNG,0.4,0.88,0.92,55,kW,51.9,kW,0.6,31.14,kW,51.1,Safe Area,-,KPL2-B20-420-SUB02,35,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0049
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-MX099,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.88,0.92,55,kW,43.32,kW,0.7,30.32,kW,49.7,Safe Area,-,KPL2-B20-420-SUB02,120,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0050
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-CP001,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.89,0.93,110,kW,85.83,kW,0.6,51.5,kW,83.5,Safe Area,-,KPL2-B20-420-SUB02,150,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0051
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-CP002,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.89,0.93,22,kW,15.86,kW,0.7,11.1,kW,18.0,Safe Area,-,KPL2-B20-420-SUB02,120,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0052
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PK001,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,PK,FDR,FD-LV-PKG,U,C,1,AC,3PNG,0.4,0.9,0.95,90,kW,76.92,kW,0.6,46.15,kW,74.0,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0053
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP003,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.88,0.92,75,kW,64.49,kW,0.7,45.14,kW,74.0,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0054
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-CP003,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,MAA,VSD,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.89,0.93,22,kW,20.59,kW,0.7,14.41,kW,23.4,Safe Area,-,KPL2-B20-420-SUB02,35,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0055
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-CP004,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,A,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.89,0.93,90,kW,85.83,kW,0.7,60.08,kW,97.4,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0056
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP004,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,MAA,VSD,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.88,0.92,37,kW,33.18,kW,0.8,26.54,kW,43.5,Safe Area,-,KPL2-B20-420-SUB02,150,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0057
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-MX099,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,B,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.88,0.92,55,kW,41.7,kW,0.6,25.02,kW,41.0,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0058
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-MX004,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,110,kW,88.43,kW,0.7,61.9,kW,101.5,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0059
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PK002,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,75,kW,59.01,kW,0.6,35.41,kW,56.8,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0060
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PK003,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,PK,FDR,FD-LV-PKG,N,S,0,AC,3PNG,0.4,0.9,0.95,75,kW,70.91,kW,0.6,42.55,kW,68.2,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0061
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP005,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,B,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.88,0.92,30,kW,25.9,kW,0.8,20.72,kW,34.0,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0062
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP006,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.88,0.92,90,kW,84.23,kW,0.7,58.96,kW,96.7,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0063
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,KPL2-B20-420-LV02-MCC03,FINAL_LOAD,KPL2-B20-420-PP007,PROCESS PUMP,\NEX\B20\420,KPL2-B20-420-LV02-MCC03,-,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.88,0.92,45,kW,36.33,kW,0.6,21.8,kW,35.8,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0064
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-CP005,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.89,0.93,55,kW,41.25,kW,0.8,33.0,kW,53.5,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0065
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-MX005,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,B,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,6.6,0.88,0.92,11,kW,9.76,kW,1.0,9.76,kW,16.0,Safe Area,-,KPL2-B20-420-SUB02,120,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0066
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-HT001,SERVICE HEATER,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,B,HE,FDR,FD-LV-HEAT,U,I,0,AC,3PNG,0.4,1.0,1.0,30,kW,26.99,kW,0.7,18.89,kW,27.3,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0067
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-PK004,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,PK,FDR,FD-LV-PKG,E,C,1,AC,3PNG,0.4,0.9,0.95,55,kW,39.61,kW,0.8,31.69,kW,50.8,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0068
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-CP006,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,MAA,VSD,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.89,0.93,7.5,kW,6.24,kW,0.9,5.62,kW,9.1,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0069
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-CP007,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.89,0.93,3,kW,2.63,kW,0.8,2.1,kW,3.4,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0070
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-MX006,MIXER DRIVE,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,A,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.88,0.92,2.2,kW,2.02,kW,0.7,1.41,kW,2.3,Safe Area,-,KPL2-B20-420-SUB02,150,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0071
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-FN001,VENTILATION FAN,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,A,MAA,DOL,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.86,0.9,3,kW,2.18,kW,0.7,1.53,kW,2.6,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0072
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-HT002,SERVICE HEATER,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,B,HE,FDR,FD-LV-HEAT,U,I,0,AC,3PNG,0.4,1.0,1.0,75,kW,65.34,kW,0.7,45.74,kW,66.0,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0073
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-HT003,SERVICE HEATER,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,A,HE,FDR,FD-LV-HEAT,E,C,1,AC,3PNG,0.4,1.0,1.0,4,kW,3.02,kW,0.6,1.81,kW,2.6,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0074
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-CP008,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,B,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.89,0.93,18.5,kW,15.38,kW,1.0,15.38,kW,24.9,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0075
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-HT004,SERVICE HEATER,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,B,HE,FDR,FD-LV-HEAT,E,I,0,AC,3PNG,0.4,1.0,1.0,30,kW,25.42,kW,1.0,25.42,kW,36.7,Safe Area,-,KPL2-B20-420-SUB02,95,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0076
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-CP009,AIR COMPRESSOR,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.89,0.93,75,kW,63.09,kW,1.0,63.09,kW,102.3,Safe Area,-,KPL2-B20-420-SUB02,150,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0077
A,E,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,KPL2-B20-420-LV02-MCC04,FINAL_LOAD,KPL2-B20-420-HT005,SERVICE HEATER,\NEX\B20\420,KPL2-B20-420-LV02-MCC04,-,HE,FDR,FD-LV-HEAT,E,I,0,AC,3PNG,0.4,1.0,1.0,15,kW,11.73,kW,0.7,8.21,kW,11.9,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0078
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-UP001,UPS DISTRIBUTION LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,B,USPB,FDR,FD-LV-UPS,E,C,1,AC,1PNG,0.23,0.98,1.0,5.5,kVA,4.54,kW,0.8,3.63,kW,9.3,Safe Area,-,KPL2-B20-420-SUB02,65,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0079
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-LP001,LIGHTING DISTRIBUTION PANEL,\NEX\B20\420,KPL2-B20-420-LV02-DB02,-,AL,FDR,FD-LV-LTG,N,I,0,AC,3PNG,0.4,0.95,1.0,3,kW,2.27,kW,0.9,2.04,kW,3.1,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0080
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-LP002,LIGHTING DISTRIBUTION PANEL,\NEX\B20\420,KPL2-B20-420-LV02-DB02,A,AL,FDR,FD-LV-LTG,E,S,0,AC,3PNG,0.4,0.95,1.0,11,kW,9.0,kW,1.0,9.0,kW,13.7,Safe Area,-,KPL2-B20-420-SUB02,50,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0081
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-PK005,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,-,PK,FDR,FD-LV-PKG,N,I,0,AC,3PNG,0.4,0.9,0.95,11,kW,10.31,kW,1.0,10.31,kW,16.5,Safe Area,-,KPL2-B20-420-SUB02,80,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0082
A,E,\NEX\B20\420,KPL2-B20-420-LV02-DB02,KPL2-B20-420-LV02-DB02,FINAL_LOAD,KPL2-B20-420-PK006,PACKAGE AUXILIARY LOAD,\NEX\B20\420,KPL2-B20-420-LV02-DB02,-,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,1.5,kW,1.42,kW,0.8,1.14,kW,1.8,Safe Area,-,KPL2-B20-420-SUB02,120,KPL2-B20-420-TR02,Synthetic final load record,SYN-LOAD-0083
